time,event,node,packet,noise
3.485782,RX,1,47,0.395000
3.485782,RX,5,47,0.000000
3.491795,TX,0,50,0.000000
3.505782,COLLISION,1,,
3.526750,COLLISION,7,,
3.538140,COLLISION,7,,
3.539782,RX,5,48,0.000000
3.540442,COLLISION,2,,
3.545795,TX,0,54,0.395000
3.546763,RX,0,16,0.000000
3.553769,RX,2,47,0.395000
3.573769,COLLISION,2,,
3.593782,RX,5,49,0.000000
3.594614,COLLISION,8,,
3.603274,COLLISION,3,,
3.621756,RX,3,47,0.395000
3.623775,RX,6,49,0.000000
3.628614,RX,8,47,0.395000
3.641756,COLLISION,3,,
3.647782,RX,1,50,0.000000
3.647782,RX,5,50,0.000000
3.648614,COLLISION,8,,
3.658992,COLLISION,9,,
3.665973,COLLISION,4,,
3.677775,RX,6,50,0.000000
3.680140,RX,7,49,0.000000
3.684462,RX,4,47,0.395000
3.692992,RX,9,47,0.395000
3.701782,RX,1,54,0.000000
3.701782,RX,5,54,0.000000
3.704462,COLLISION,4,,
3.712992,COLLISION,9,,
3.715769,RX,2,50,0.000000
3.731775,RX,6,54,0.000000
3.734140,RX,7,50,0.000000
3.745650,TX,7,62,0.395000
3.747708,TX,8,63,0.395000
3.769769,RX,2,54,0.000000
3.783756,RX,3,50,0.000000
3.788140,RX,7,54,0.000000
3.790614,RX,8,50,0.000000
3.801708,TX,8,64,0.395000
3.820992,COLLISION,9,,
3.837756,RX,3,54,0.000000
3.839931,COLLISION,3,,
3.841989,COLLISION,4,,
3.844614,RX,8,54,0.000000
3.845688,COLLISION,2,,
3.846462,RX,4,50,0.395000
3.854992,RX,9,50,0.395000
3.855708,TX,8,65,0.000000
3.869695,COLLISION,9,,
3.879454,COLLISION,3,,
3.881624,COLLISION,9,,
3.884239,TX,0,67,0.000000
3.895989,COLLISION,4,,
3.899688,COLLISION,2,,
3.899995,COLLISION,4,,
3.901637,RX,6,62,0.000000
3.911396,RX,8,62,0.000000
3.913454,RX,7,63,0.000000
3.931630,RX,1,62,0.000000
3.952226,COLLISION,1,,
3.952226,COLLISION,5,,
3.967454,RX,7,64,0.000000
3.969624,RX,5,62,0.395000
3.971682,RX,6,63,0.000000
3.985375,RX,1,63,0.395000
3.987995,RX,0,62,0.000000
3.991682,COLLISION,6,,
4.002152,COLLISION,5,,
4.005375,COLLISION,1,,
4.011695,RX,9,65,0.000000
4.021454,RX,3,65,0.000000
4.021454,RX,7,65,0.000000
4.025682,RX,6,64,0.395000
4.037989,RX,4,65,0.000000
4.041688,RX,2,65,0.000000
4.046527,RX,0,63,0.000000
4.100527,RX,0,64,0.000000
4.108213,RX,2,67,0.000000
4.126584,RX,7,67,0.000000
4.144152,RX,5,65,0.000000
4.154527,RX,0,65,0.000000
4.176200,RX,3,67,0.000000
4.183058,RX,8,67,0.000000
4.238906,RX,4,67,0.000000
4.247436,RX,9,67,0.000000
4.247991,TX,1,44,0.000000
4.278955,TX,2,40,0.000000
4.286027,TX,0,69,0.000000
4.301991,TX,1,46,0.000000
4.313135,TX,6,26,0.000000
4.332955,TX,2,41,0.000000
4.340027,TX,0,70,0.000000
4.346942,COLLISION,7,,
4.354014,COLLISION,1,,
4.354014,COLLISION,5,,
4.373236,COLLISION,6,,
4.381122,COLLISION,1,,
4.381122,COLLISION,5,,
4.381122,COLLISION,7,,
4.383964,COLLISION,3,,
4.384007,COLLISION,6,,
4.386955,TX,2,42,0.395000
4.394027,TX,0,71,0.395000
4.396271,COLLISION,5,,
4.397657,COLLISION,8,,
4.399970,COLLISION,7,,
4.400942,COLLISION,1,,
4.400942,COLLISION,3,,
4.400942,COLLISION,7,,
4.403978,RX,0,44,0.000000
4.403978,RX,2,44,0.000000
4.403978,RX,6,44,0.790000
4.408014,COLLISION,1,,
4.408014,COLLISION,5,,
4.427236,COLLISION,6,,
4.428622,COLLISION,5,,
4.430935,COLLISION,8,,
4.438007,COLLISION,6,,
4.440955,TX,2,66,0.395000
4.448435,COLLISION,4,,
4.449108,COLLISION,8,,
4.451657,COLLISION,8,,
4.454942,COLLISION,3,,
4.454942,COLLISION,7,,
4.457978,RX,0,46,0.395000
4.457978,RX,2,46,0.395000
4.458809,COLLISION,9,,
4.462014,COLLISION,1,,
4.462801,COLLISION,3,,
4.468929,COLLISION,4,,
4.482622,COLLISION,5,,
4.482622,COLLISION,9,,
4.489988,COLLISION,3,,
4.492007,COLLISION,6,,
4.494372,COLLISION,7,,
4.495416,RX,2,26,0.395000
4.496846,COLLISION,8,,
4.499114,RX,0,26,0.395000
4.502435,COLLISION,4,,
4.502929,RX,0,40,0.000000
4.508942,COLLISION,1,,
4.508942,COLLISION,3,,
4.508942,COLLISION,7,,
4.510001,RX,2,69,0.000000
4.512809,COLLISION,9,,
4.513579,COLLISION,9,,
4.525633,COLLISION,4,,
4.535236,COLLISION,6,,
4.536622,COLLISION,5,,
4.538935,COLLISION,8,,
4.550846,COLLISION,8,,
4.552694,COLLISION,4,,
4.556929,RX,0,41,0.000000
4.561224,COLLISION,9,,
4.564001,RX,2,70,0.000000
4.576929,COLLISION,4,,
4.590622,COLLISION,9,,
4.606694,COLLISION,4,,
4.610929,RX,0,42,0.000000
4.615224,COLLISION,9,,
4.618001,RX,2,71,0.000000
4.631988,RX,3,70,0.000000
4.636372,RX,7,71,0.000000
4.664929,RX,0,66,0.000000
4.678622,RX,5,66,0.000000
4.685988,RX,3,71,0.000000
4.692846,RX,8,71,0.000000
4.748694,RX,4,71,0.000000
4.757224,RX,9,71,0.000000
4.997908,TX,3,25,0.000000
5.051908,TX,3,59,0.000000
5.070037,TX,7,78,0.000000
5.095757,TX,5,68,0.000000
5.105908,TX,3,75,0.000000
5.138024,COLLISION,2,,
5.147574,COLLISION,6,,
5.147783,COLLISION,8,,
5.149757,TX,5,72,0.000000
5.153895,RX,2,25,0.395000
5.163654,RX,4,25,0.000000
5.163654,RX,8,25,0.395000
5.163744,COLLISION,6,,
5.168017,COLLISION,1,,
5.173895,COLLISION,2,,
5.180189,RX,7,25,0.000000
5.183654,COLLISION,8,,
5.183888,RX,9,25,0.000000
5.187882,COLLISION,1,,
5.190038,COLLISION,1,,
5.201574,COLLISION,6,,
5.201869,COLLISION,0,,
5.203757,TX,5,73,0.000000
5.206011,COLLISION,9,,
5.210406,COLLISION,5,,
5.217654,RX,4,59,0.000000
5.217744,COLLISION,0,,
5.217744,COLLISION,6,,
5.224382,COLLISION,0,,
5.224382,COLLISION,4,,
5.231731,COLLISION,7,,
5.234189,RX,7,59,0.395000
5.237888,RX,9,59,0.395000
5.244038,COLLISION,1,,
5.252318,RX,3,78,0.000000
5.264406,COLLISION,5,,
5.271744,COLLISION,0,,
5.271744,COLLISION,6,,
5.285731,COLLISION,7,,
5.298038,COLLISION,1,,
5.309869,COLLISION,0,,
5.333423,RX,2,68,0.000000
5.337810,TX,1,84,0.395000
5.361353,TX,0,85,0.000000
5.384201,RX,8,68,0.000000
5.387423,RX,2,72,0.000000
5.391810,TX,1,86,0.000000
5.396255,RX,3,68,0.000000
5.406406,RX,5,75,0.000000
5.427731,RX,7,73,0.000000
5.432091,COLLISION,5,,
5.438201,RX,8,72,0.000000
5.441423,RX,2,73,0.000000
5.450255,RX,3,72,0.000000
5.450423,RX,9,68,0.000000
5.458954,RX,4,68,0.000000
5.459797,COLLISION,6,,
5.486091,COLLISION,5,,
5.492201,RX,8,73,0.000000
5.493797,RX,0,84,0.000000
5.493797,RX,2,84,0.000000
5.493797,RX,6,84,0.395000
5.497327,COLLISION,2,,
5.504255,RX,3,73,0.000000
5.504423,RX,9,72,0.000000
5.512954,RX,4,72,0.000000
5.515698,COLLISION,7,,
5.517340,RX,1,85,0.000000
5.523790,RX,7,84,0.395000
5.547797,RX,0,86,0.000000
5.558423,RX,9,73,0.000000
5.561784,RX,3,84,0.000000
5.565314,COLLISION,3,,
5.566954,RX,4,73,0.000000
5.572172,COLLISION,8,,
5.575476,RX,8,84,0.395000
5.593991,TX,1,90,0.000000
5.626254,RX,4,84,0.000000
5.628020,COLLISION,4,,
5.636550,COLLISION,9,,
5.636629,RX,9,84,0.395000
5.749978,RX,0,90,0.000000
5.749978,RX,2,90,0.000000
5.749978,RX,6,90,0.000000
5.776272,RX,5,90,0.000000
5.779971,RX,7,90,0.000000
5.784849,TX,0,87,0.000000
5.817965,RX,3,90,0.000000
5.831658,RX,8,90,0.000000
5.882435,RX,4,90,0.000000
5.892810,RX,9,90,0.000000
5.913342,TX,4,27,0.000000
5.940836,RX,1,87,0.000000
5.940836,RX,5,87,0.000000
5.964987,TX,9,8,0.000000
5.967342,TX,4,28,0.000000
5.970829,RX,6,87,0.000000
5.991088,COLLISION,3,,
6.007622,COLLISION,8,,
6.008823,RX,2,87,0.000000
6.018987,TX,9,9,0.000000
6.021342,TX,4,55,0.000000
6.027194,RX,7,87,0.000000
6.032974,COLLISION,8,,
6.045088,COLLISION,3,,
6.051516,COLLISION,4,,
6.060046,COLLISION,9,,
6.061622,COLLISION,8,,
6.062966,COLLISION,3,,
6.069328,RX,9,27,0.395000
6.072987,TX,9,17,0.395000
6.075342,TX,4,56,0.395000
6.086974,COLLISION,4,,
6.089328,COLLISION,9,,
6.100961,COLLISION,7,,
6.114653,COLLISION,2,,
6.115622,COLLISION,8,,
6.116966,COLLISION,3,,
6.121686,COLLISION,7,,
6.126987,TX,9,18,0.395000
6.129342,TX,4,57,0.395000
6.137315,RX,2,27,0.395000
6.140974,COLLISION,8,,
6.153088,COLLISION,3,,
6.154961,COLLISION,7,,
6.157315,COLLISION,2,,
6.165431,COLLISION,6,,
6.168653,COLLISION,2,,
6.169622,COLLISION,8,,
6.170966,COLLISION,3,,
6.175805,COLLISION,1,,
6.179840,COLLISION,6,,
6.180987,TX,9,24,0.000000
6.183342,TX,4,58,0.000000
6.201786,RX,1,27,0.395000
6.208961,COLLISION,7,,
6.221786,COLLISION,1,,
6.222653,COLLISION,2,,
6.223622,COLLISION,8,,
6.224966,COLLISION,3,,
6.228974,RX,4,17,0.000000
6.229686,COLLISION,7,,
6.229805,COLLISION,1,,
6.231328,RX,9,56,0.000000
6.231653,COLLISION,5,,
6.233840,COLLISION,6,,
6.234987,TX,9,37,0.000000
6.237342,TX,4,60,0.000000
6.240184,COLLISION,0,,
6.242538,COLLISION,5,,
6.248974,COLLISION,8,,
6.261088,COLLISION,3,,
6.262961,COLLISION,7,,
6.265315,COLLISION,2,,
6.268008,RX,0,27,0.395000
6.273431,COLLISION,6,,
6.276653,COLLISION,2,,
6.277622,COLLISION,8,,
6.278966,COLLISION,3,,
6.282974,RX,4,18,0.000000
6.283805,COLLISION,1,,
6.285328,RX,9,57,0.000000
6.287840,COLLISION,6,,
6.288008,COLLISION,0,,
6.288987,TX,9,38,0.000000
6.291342,TX,4,61,0.000000
6.294184,COLLISION,0,,
6.296538,COLLISION,5,,
6.316961,COLLISION,7,,
6.329786,COLLISION,1,,
6.330653,COLLISION,2,,
6.331622,COLLISION,8,,
6.332966,COLLISION,3,,
6.336974,RX,4,24,0.000000
6.337686,COLLISION,7,,
6.337805,COLLISION,1,,
6.339328,RX,9,58,0.000000
6.339653,COLLISION,5,,
6.341840,COLLISION,6,,
6.342987,TX,9,39,0.000000
6.345342,TX,4,94,0.000000
6.348184,COLLISION,0,,
6.350538,COLLISION,5,,
6.356974,COLLISION,8,,
6.369088,COLLISION,3,,
6.370961,COLLISION,7,,
6.372060,TX,7,102,0.790000
6.373315,COLLISION,2,,
6.381431,COLLISION,6,,
6.384653,COLLISION,2,,
6.385622,COLLISION,8,,
6.386966,COLLISION,3,,
6.390974,RX,4,37,0.000000
6.391805,COLLISION,1,,
6.393328,RX,9,60,0.000000
6.395840,COLLISION,6,,
