time,event,node,packet,noise
22.237000,TX,7,20,0.000000
22.384987,RX,2,20,0.000000
22.384987,RX,6,20,0.000000
22.394746,RX,8,20,0.000000
22.411281,RX,3,20,0.000000
22.414980,RX,1,20,0.000000
22.452974,RX,5,20,0.000000
22.452974,RX,9,20,0.000000
22.471344,RX,0,20,0.000000
22.471344,RX,4,20,0.000000
22.838000,TX,8,36,0.000000
22.985987,RX,9,36,0.000000
22.995746,RX,3,36,0.000000
22.995746,RX,7,36,0.000000
23.012281,RX,4,36,0.000000
23.015980,RX,2,36,0.000000
23.053974,RX,6,36,0.000000
23.067666,RX,1,36,0.000000
23.118444,RX,5,36,0.000000
23.128819,RX,0,36,0.000000
23.439000,TX,9,18,0.000000
23.586987,RX,4,18,0.000000
23.586987,RX,8,18,0.000000
23.616980,RX,3,18,0.000000
23.654974,RX,7,18,0.000000
23.668666,RX,2,18,0.000000
23.719444,RX,6,18,0.000000
23.729819,RX,1,18,0.000000
23.785667,RX,5,18,0.000000
23.794197,RX,0,18,0.000000
24.040000,TX,0,47,0.000000
24.187987,RX,1,47,0.000000
24.187987,RX,5,47,0.000000
24.217980,RX,6,47,0.000000
24.255974,RX,2,47,0.000000
24.274344,RX,7,47,0.000000
24.323961,RX,3,47,0.000000
24.330819,RX,8,47,0.000000
24.386667,RX,4,47,0.000000
24.395197,RX,9,47,0.000000
24.641000,TX,1,44,0.000000
24.788987,RX,0,44,0.000000
24.788987,RX,2,44,0.000000
24.788987,RX,6,44,0.000000
24.815281,RX,5,44,0.000000
24.818980,RX,7,44,0.000000
24.856974,RX,3,44,0.000000
24.870666,RX,8,44,0.000000
24.921444,RX,4,44,0.000000
24.931819,RX,9,44,0.000000
25.242000,TX,2,66,0.000000
25.389987,RX,1,66,0.000000
25.389987,RX,3,66,0.000000
25.389987,RX,7,66,0.000000
25.416281,RX,6,66,0.000000
25.419980,RX,8,66,0.000000
25.457974,RX,0,66,0.000000
25.457974,RX,4,66,0.000000
25.471666,RX,5,66,0.000000
25.471666,RX,9,66,0.000000
25.843000,TX,3,97,0.000000
25.990987,RX,2,97,0.000000
26.000746,RX,4,97,0.000000
26.000746,RX,8,97,0.000000
26.017281,RX,7,97,0.000000
26.020980,RX,9,97,0.000000
26.058974,RX,1,97,0.000000
26.072666,RX,6,97,0.000000
26.126961,RX,0,97,0.000000
26.135498,RX,5,97,0.000000
26.444000,TX,4,55,0.000000
26.591987,RX,9,55,0.000000
26.601746,RX,3,55,0.000000
26.618281,RX,8,55,0.000000
26.659974,RX,2,55,0.000000
26.678344,RX,7,55,0.000000
26.724444,RX,1,55,0.000000
26.736498,RX,6,55,0.000000
26.790667,RX,0,55,0.000000
26.799197,RX,5,55,0.000000
27.045000,TX,5,5,0.000000
27.192987,RX,0,5,0.000000
27.192987,RX,6,5,0.000000
27.219281,RX,1,5,0.000000
27.260974,RX,7,5,0.000000
27.274666,RX,2,5,0.000000
27.325444,RX,8,5,0.000000
27.337498,RX,3,5,0.000000
27.391667,RX,9,5,0.000000
27.400197,RX,4,5,0.000000
27.646000,TX,6,95,0.000000
27.793987,RX,1,95,0.000000
27.793987,RX,5,95,0.000000
27.793987,RX,7,95,0.000000
27.820281,RX,2,95,0.000000
27.823980,RX,0,95,0.000000
27.861974,RX,8,95,0.000000
27.875666,RX,3,95,0.000000
27.926444,RX,9,95,0.000000
27.938498,RX,4,95,0.000000
28.247000,TX,7,21,0.000000
28.394987,RX,2,21,0.000000
28.394987,RX,6,21,0.000000
28.404746,RX,8,21,0.000000
28.421281,RX,3,21,0.000000
28.424980,RX,1,21,0.000000
28.462974,RX,5,21,0.000000
28.462974,RX,9,21,0.000000
